COMPANY_ADDRESS,COMPANY_NAME,GOODS_NAME,GOODS_PRICE,GOODS_URL,IP,LAST_CHECK_TIME,PORT,POSITION,SHOP_NAME,SHOP_URL,SPEED,TYPE
"广东省,  广州市",,Toshiba/东芝 HDTP210AW3AA,349.00,https://detail.tmall.com/item.htm?id=540015263833&skuId=3929532822134&standard=1&user_id=2578636029&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,东芝隼晨专卖店,//rate.taobao.com/user-rate-UvC8uOmxGMCNyOQTT.htm,,
,,Seagate/希捷 ST3000DM008,489.00,https://detail.tmall.com/item.htm?id=538811534073&skuId=3916320122278&standard=1&user_id=2864394693&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,希捷煜强专卖店,//rate.taobao.com/user-rate-UvCgLMmvSMmxSvWTT.htm,,
"江苏省,  南京市",,影驰 铁甲战将120G,155.00,https://detail.tmall.com/item.htm?id=569728176391&skuId=3831626550518&standard=1&user_id=2202597322&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,享淘数码配件专营店,//rate.taobao.com/user-rate-UvCIWvC8SMGvyvgTT.htm,,
上海,,Toshiba/东芝 HDTC830Y,709.00,https://detail.tmall.com/item.htm?id=45603735926&skuId=3850910643047&standard=1&user_id=874887241&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,东芝祝庆专卖店,//rate.taobao.com/user-rate-UOmc0OmguvCQY.htm,,
"江苏,  南京",,影驰 铠甲战将 128gb,169.00,https://detail.tmall.com/item.htm?id=527893326581&skuId=3195559274344&standard=1&user_id=2731691808&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,影驰电脑硬件旗舰店,//rate.taobao.com/user-rate-UvCcGvFxSvFgWONTT.htm,,
"江苏,  南京",,Intel/英特尔 760P 256G,439.00,https://detail.tmall.com/item.htm?id=564570934197&skuId=3732859846129&standard=1&user_id=1124540496&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,五方数码配件专营店,//rate.taobao.com/user-rate-UvFHyMm80vmQSMgTT.htm,,
上海,,Seagate/希捷 STBX1000,379.00,https://detail.tmall.com/item.htm?id=12620021281&skuId=67511695221&standard=1&user_id=680956838&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,seagate旗舰店,//rate.taobao.com/user-rate-UMCgWOF8LOmv4.htm,,
"广东,  广州",,WD/西部数据 WD10SPZX,299.00,https://detail.tmall.com/item.htm?id=559863950838&skuId=3761114936423&standard=1&user_id=737581011&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,玖佳数码专营店,//rate.taobao.com/user-rate-UMGvuMFgYvmHY.htm,,
,,Seagate/希捷 ST2000DM006,389.00,https://detail.tmall.com/item.htm?id=538776838968&skuId=3748932472633&standard=1&user_id=2864394693&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,希捷煜强专卖店,//rate.taobao.com/user-rate-UvCgLMmvSMmxSvWTT.htm,,
"浙江,  杭州",,Toshiba/东芝 TR200 SSD,299.00,https://detail.tmall.com/item.htm?id=561271454031&skuId=3713328932535&standard=1&user_id=1705684430&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,东芝赞恩专卖店,//rate.taobao.com/user-rate-UvFcWMFx4MmQGvNTT.htm,,
"浙江,  杭州",,影驰 铁甲战将480G,445.00,https://detail.tmall.com/item.htm?id=560178885692&skuId=3882569963923&standard=1&user_id=742795908&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,普指数码专营店,//rate.taobao.com/user-rate-UMGQyMGkbOFN4.htm,,
上海,,Intel/英特尔 760P,439.00,https://detail.tmall.com/item.htm?id=564482793462&skuId=3566498168740&standard=1&user_id=744506827&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,汉东数码专营店,//rate.taobao.com/user-rate-UMGQ0MFNLOmIu.htm,,
,,纽曼 清风2.0(160g),115.00,https://detail.tmall.com/item.htm?id=554824935356&skuId=3584276187036&user_id=3302094416&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,纽曼致庸专卖店,//rate.taobao.com/user-rate-UvGvWvCNSMmQYMgTT.htm,,
"广东,  深圳",,ShineDisk M667 240G,219.00,https://detail.tmall.com/item.htm?id=45053862121&skuId=3684716254711&standard=1&user_id=2067861716&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,shinedisk旗舰店,//rate.taobao.com/user-rate-UvCNLMGgLvFcYMgTT.htm,,
,,XDISK小盘移动硬盘1t USB3.0高速移动硬移动盘1t移动硬盘2t纤薄兼容苹果硬盘mac硬盘移动硬盘2t游戏ps4特惠,288.00,https://detail.tmall.com/item.htm?id=570451573502&skuId=3755546720658&user_id=3817430018&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,喜宾小盘专卖店,//rate.taobao.com/user-rate-UvGgYMGQGvmNYONTT.htm,,
"浙江,  杭州",,Samsung/三星 MZ-V7E250BW,629.00,https://detail.tmall.com/item.htm?id=569129768864&skuId=3896327478114&standard=1&user_id=894127710&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,三星千兆专卖店,//rate.taobao.com/user-rate-UOmk0vFIuMGHW.htm,,
